Raca,Sexo,Idade,peso_kg,porte_animal,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,caminhada_diaria_km,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Visitas_Anuais_Veterinario,calorias_diarias_RER,Status_Saude,Recomendacao_Racao_IA
Golden Retriever,Macho,8.0,40.37,Grande,Ativo,Ração Seca,Nutro,4.83,Sim,Não,14.0,0.0,0.0,1121.09,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Australian Shepherd,Fêmea,13.0,20.41,Médio,Ativo,Úmida,Nutro,1.61,Sim,Sim,10.0,2.0,0.0,672.17,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Rottweiler,Macho,1.0,13.15,Médio,Ativo,Úmida,Wellness,1.61,Não,Não,10.0,3.0,3.0,483.38,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Macho,7.0,18.14,Médio,Ativo,Caseira,Special,3.22,Não,Não,10.0,3.0,1.0,615.28,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Fêmea,13.0,32.66,Grande,Ativo,Especial,Hill's Science,3.22,Sim,Não,9.0,2.0,2.0,956.34,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,7.0,25.85,Grande,Ativo,Úmida,Iams,6.44,Sim,Não,10.0,1.0,1.0,802.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Fêmea,4.0,29.94,Grande,Muito Ativo,Úmida,Hill's Science,4.83,Sim,Não,13.0,1.0,2.0,895.96,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,4.0,27.22,Grande,Baixo,Úmida,Nutro,3.22,Sim,Não,12.0,1.0,0.0,834.19,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Boxer,Macho,7.0,26.31,Grande,Ativo,Ração Seca,Nutro,3.22,Sim,Não,10.0,4.0,1.0,813.18,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,Macho,10.0,29.48,Grande,Baixo,Caseira,Special,3.22,Sim,Não,10.0,3.0,0.0,885.61,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Bulldog,Fêmea,1.0,18.6,Médio,Moderado,Úmida,Wellness,4.83,Sim,Não,11.0,3.0,0.0,626.95,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Golden Retriever,Fêmea,7.0,26.31,Grande,Baixo,Ração Seca,Wellness,4.83,Sim,Não,11.0,0.0,1.0,813.18,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Poodle,Fêmea,3.0,21.32,Médio,Ativo,Caseira,Special,4.83,Não,Não,14.0,3.0,1.0,694.53,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Fêmea,5.0,15.42,Médio,Ativo,Especial,Blue Buffalo,0.0,Sim,Não,13.0,1.0,2.0,544.7,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Fêmea,11.0,8.62,Pequeno,Ativo,Ração Seca,Iams,4.83,Sim,Não,9.0,2.0,1.0,352.15,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Rottweiler,Fêmea,13.0,21.77,Médio,Ativo,Úmida,Purina,8.05,Não,Não,12.0,2.0,1.0,705.49,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,3.0,27.22,Grande,Ativo,Ração Seca,Nutro,3.22,Sim,Não,11.0,1.0,2.0,834.19,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Fêmea,6.0,22.68,Médio,Ativo,Caseira,Special,4.83,Sim,Não,14.0,2.0,4.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,Fêmea,6.0,15.42,Médio,Baixo,Caseira,Special,3.22,Sim,Não,11.0,2.0,1.0,544.7,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Fêmea,11.0,28.58,Grande,Muito Ativo,Ração Seca,Nutro,0.0,Sim,Não,12.0,2.0,3.0,865.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,11.0,29.48,Grande,Ativo,Ração Seca,Blue Buffalo,6.44,Sim,Não,10.0,2.0,2.0,885.61,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,Macho,11.0,21.77,Médio,Ativo,Especial,Nutro,3.22,Não,Não,13.0,1.0,1.0,705.49,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Fêmea,4.0,21.77,Médio,Ativo,Úmida,Wellness,4.83,Não,Não,13.0,1.0,0.0,705.49,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,3.0,12.25,Médio,Moderado,Ração Seca,Hill's Science,6.44,Não,Não,12.0,0.0,2.0,458.35,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Fêmea,11.0,28.58,Grande,Baixo,Ração Seca,Wellness,6.44,Sim,Não,10.0,2.0,0.0,865.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,4.0,20.87,Médio,Moderado,Úmida,Purina,1.61,Não,Não,12.0,1.0,2.0,683.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
SRD (Sem Raça Definida),Macho,12.0,19.5,Médio,Moderado,Especial,Pedigree,9.66,Sim,Não,11.0,0.0,0.0,649.57,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Siberian Husky,Fêmea,4.0,23.13,Médio,Ativo,Ração Seca,Royal Canin,4.83,Sim,Não,10.0,3.0,2.0,738.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Macho,9.0,30.39,Grande,Muito Ativo,Úmida,Royal Canin,3.22,Sim,Não,9.0,3.0,1.0,906.04,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,3.0,18.14,Médio,Moderado,Especial,Wellness,3.22,Sim,Não,10.0,2.0,0.0,615.28,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,7.0,28.58,Grande,Muito Ativo,Caseira,Special,0.0,Não,Não,12.0,3.0,1.0,865.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Fêmea,4.0,19.05,Médio,Ativo,Especial,Pedigree,0.0,Sim,Não,12.0,0.0,0.0,638.29,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Australian Shepherd,Fêmea,11.0,31.3,Grande,Muito Ativo,Especial,Purina,6.44,Não,Não,11.0,1.0,1.0,926.31,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Fêmea,5.0,24.49,Médio,Ativo,Especial,Blue Buffalo,4.83,Não,Não,12.0,2.0,1.0,770.62,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,12.0,26.31,Grande,Moderado,Úmida,Pedigree,0.0,Não,Não,11.0,1.0,2.0,813.18,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,1.0,22.68,Médio,Baixo,Ração Seca,Nutro,1.61,Sim,Não,11.0,1.0,1.0,727.5,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Bulldog,Macho,2.0,25.85,Grande,Muito Ativo,Especial,Iams,6.44,Sim,Não,14.0,1.0,2.0,802.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,4.0,13.61,Médio,Ativo,Caseira,Special,4.83,Não,Não,13.0,1.0,1.0,496.01,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,Fêmea,9.0,28.58,Grande,Ativo,Caseira,Special,6.44,Não,Não,12.0,1.0,1.0,865.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,11.0,36.29,Grande,Baixo,Ração Seca,Nutro,3.22,Não,Não,13.0,3.0,2.0,1035.0,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Rottweiler,Macho,4.0,8.16,Pequeno,Ativo,Especial,Iams,4.83,Não,Não,11.0,1.0,1.0,337.96,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Blue Buffalo® Basics™ Small Breed Adult Dry Dog Food - Natural, Turkey"
Bulldog,Macho,8.0,20.41,Médio,Moderado,Ração Seca,Hill's Science,3.22,Não,Não,12.0,0.0,1.0,672.17,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Fêmea,13.0,22.68,Médio,Moderado,Úmida,Nutro,1.61,Sim,Não,9.0,2.0,1.0,727.5,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Dachshund,Macho,9.0,11.34,Médio,Baixo,Caseira,Special,6.44,Sim,Não,10.0,1.0,1.0,432.57,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Fêmea,7.0,15.88,Médio,Baixo,Ração Seca,Pedigree,4.83,Não,Não,13.0,1.0,4.0,556.85,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,Macho,3.0,11.34,Médio,Baixo,Caseira,Special,4.83,Não,Não,14.0,2.0,1.0,432.57,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Fêmea,10.0,23.13,Médio,Ativo,Especial,Royal Canin,4.83,Não,Não,10.0,4.0,1.0,738.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Fêmea,10.0,34.93,Grande,Ativo,Especial,Hill's Science,1.61,Não,Não,13.0,3.0,1.0,1005.77,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Fêmea,6.0,17.24,Médio,Muito Ativo,Ração Seca,Purina,3.22,Não,Não,11.0,1.0,1.0,592.24,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Fêmea,8.0,27.67,Grande,Ativo,Ração Seca,Pedigree,4.83,Não,Não,9.0,2.0,3.0,844.51,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Fêmea,11.0,19.96,Médio,Ativo,Úmida,Blue Buffalo,3.22,Sim,Não,11.0,0.0,1.0,661.03,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Fêmea,2.0,17.69,Médio,Baixo,Especial,Royal Canin,3.22,Não,Não,12.0,2.0,2.0,603.8,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Macho,10.0,19.5,Médio,Ativo,Úmida,Pedigree,1.61,Sim,Não,14.0,2.0,1.0,649.57,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Macho,2.0,24.95,Médio,Ativo,Úmida,Royal Canin,4.83,Não,Não,14.0,3.0,0.0,781.45,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Labrador Retriever,Macho,1.0,13.15,Médio,Ativo,Úmida,Iams,3.22,Não,Não,12.0,2.0,3.0,483.38,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Boxer,Fêmea,3.0,31.75,Grande,Baixo,Ração Seca,Iams,4.83,Sim,Não,10.0,1.0,1.0,936.28,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Macho,5.0,26.76,Grande,Ativo,Úmida,Iams,1.61,Não,Não,13.0,1.0,2.0,823.59,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Fêmea,7.0,18.6,Médio,Moderado,Especial,Nutro,6.44,Não,Não,9.0,1.0,2.0,626.95,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Fêmea,1.0,27.67,Grande,Muito Ativo,Úmida,Purina,6.44,Não,Não,12.0,2.0,0.0,844.51,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Fêmea,6.0,15.42,Médio,Ativo,Especial,Purina,4.83,Não,Não,12.0,1.0,2.0,544.7,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Macho,10.0,16.33,Médio,Ativo,Ração Seca,Wellness,1.61,Sim,Não,13.0,3.0,2.0,568.64,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,7.0,19.05,Médio,Ativo,Ração Seca,Blue Buffalo,8.05,Sim,Não,10.0,2.0,0.0,638.29,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Dachshund,Fêmea,9.0,33.11,Grande,Baixo,Ração Seca,Blue Buffalo,3.22,Sim,Não,11.0,0.0,0.0,966.2,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Siberian Husky,Fêmea,7.0,34.02,Grande,Ativo,Ração Seca,Purina,1.61,Não,Não,8.0,1.0,3.0,986.05,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Macho,1.0,28.12,Grande,Ativo,Úmida,Hill's Science,4.83,Sim,Não,14.0,2.0,4.0,854.79,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Fêmea,10.0,19.96,Médio,Ativo,Ração Seca,Pedigree,4.83,Não,Não,13.0,1.0,0.0,661.03,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Fêmea,4.0,10.89,Médio,Muito Ativo,Úmida,Royal Canin,4.83,Sim,Não,12.0,1.0,3.0,419.63,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,8.0,22.68,Médio,Ativo,Caseira,Special,4.83,Não,Não,11.0,1.0,3.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,1.0,19.96,Médio,Ativo,Ração Seca,Wellness,4.83,Sim,Não,12.0,2.0,1.0,661.03,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Macho,12.0,16.78,Médio,Baixo,Ração Seca,Hill's Science,8.05,Sim,Não,10.0,2.0,2.0,580.35,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Rottweiler,Fêmea,4.0,21.32,Médio,Muito Ativo,Especial,Royal Canin,3.22,Sim,Não,10.0,0.0,1.0,694.53,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,9.0,22.68,Médio,Ativo,Ração Seca,Wellness,8.05,Sim,Sim,9.0,2.0,4.0,727.5,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Bulldog,Fêmea,12.0,17.69,Médio,Ativo,Caseira,Special,1.61,Sim,Não,8.0,2.0,2.0,603.8,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
German Shepherd,Fêmea,5.0,21.77,Médio,Baixo,Úmida,Hill's Science,4.83,Sim,Não,12.0,1.0,0.0,705.49,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Beagle,Macho,1.0,27.67,Grande,Moderado,Úmida,Hill's Science,6.44,Sim,Não,10.0,1.0,1.0,844.51,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,Fêmea,5.0,21.32,Médio,Moderado,Ração Seca,Hill's Science,1.61,Sim,Não,10.0,1.0,4.0,694.53,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Poodle,Macho,2.0,26.76,Grande,Ativo,Especial,Special,4.83,Não,Não,10.0,1.0,2.0,823.59,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,5.0,15.42,Médio,Muito Ativo,Ração Seca,Pedigree,3.22,Não,Não,13.0,1.0,1.0,544.7,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Fêmea,5.0,17.69,Médio,Ativo,Caseira,Special,4.83,Não,Não,11.0,1.0,3.0,603.8,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,13.0,27.22,Grande,Muito Ativo,Ração Seca,Wellness,1.61,Sim,Não,12.0,2.0,3.0,834.19,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,6.0,26.76,Grande,Ativo,Úmida,Royal Canin,1.61,Não,Não,11.0,1.0,0.0,823.59,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,12.0,29.94,Grande,Ativo,Caseira,Special,3.22,Não,Sim,10.0,1.0,2.0,895.96,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Chihuahua,Macho,10.0,29.94,Grande,Moderado,Úmida,Iams,4.83,Sim,Não,13.0,1.0,1.0,895.96,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,Fêmea,12.0,29.03,Grande,Ativo,Especial,Hill's Science,4.83,Sim,Não,11.0,1.0,1.0,875.45,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,Fêmea,10.0,18.14,Médio,Baixo,Caseira,Special,4.83,Sim,Não,13.0,4.0,0.0,615.28,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Beagle,Macho,13.0,25.85,Grande,Baixo,Caseira,Special,3.22,Sim,Não,10.0,0.0,0.0,802.5,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
German Shepherd,Fêmea,4.0,19.05,Médio,Baixo,Úmida,Nutro,6.44,Não,Não,11.0,3.0,0.0,638.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Macho,3.0,16.78,Médio,Baixo,Ração Seca,Blue Buffalo,3.22,Sim,Não,8.0,2.0,1.0,580.35,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Fêmea,6.0,14.51,Médio,Moderado,Caseira,Special,4.83,Não,Não,10.0,1.0,0.0,520.41,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Fêmea,3.0,32.21,Grande,Baixo,Ração Seca,Wellness,1.61,Sim,Não,12.0,2.0,0.0,946.44,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Poodle,Fêmea,9.0,21.32,Médio,Baixo,Ração Seca,Pedigree,3.22,Não,Não,9.0,0.0,2.0,694.53,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Dachshund,Fêmea,7.0,13.61,Médio,Baixo,Especial,Special,3.22,Não,Não,11.0,3.0,2.0,496.01,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Fêmea,2.0,23.59,Médio,Ativo,Especial,Wellness,8.05,Não,Não,14.0,2.0,2.0,749.28,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Fêmea,9.0,22.68,Médio,Ativo,Ração Seca,Iams,4.83,Sim,Não,11.0,4.0,3.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
